"","Annee","D_PIB","PROD","CHO","MI","FEC","ESP_F","ESP_H","PIB_VAL","PRELEV_REF","CONTRIB_REF","PIB_VOL"
"1",2002,0.117761,0.02786,0.079,97000,1.881,21.4,17.1,1578.33,26.9,2,2003.664
"2",2003,0.1187742,0.00614,0.085,102000,1.891,21.3,17.1,1622.313,27.6,2,2023.056
"3",2004,0.1195707,0.01315,0.089,105128,1.915,22.1,17.7,1696.108,27.9,2,2081.082
"4",2005,0.1213313,0.00955,0.089,92192,1.938,22,17.7,1762.048,27.9,2,2120.384
"5",2006,0.1215354,0.02648,0.088,112141,1.997,22.4,18,1846.021,28,2.1,2177.933
"6",2007,0.1230522,-0.00275,0.08,73626,1.977,22.5,18.1,1937.876,28.4,2.1,2233.045
"7",2008,0.1242644,-0.0031,0.074,56812,2.007,22.5,18.2,1990,28.3,1.9,2241.535
"8",2009,0.1331763,-0.00742,0.091,32339,2.004,22.6,18.4,1935.84,28.9,2,2178.221
"9",2010,0.1335761,0.01164,0.093,38880,2.029,22.7,18.6,1996.075,28.6,2,2221.793
"10",2011,0.1348647,0.01373,0.092,29504,2.01,23,18.9,2062.141,29.3,2,2275.951
"11",2012,0.1379361,0.00419,0.098,72336,2.008,22.8,18.8,2088.287,30.1,2.1,2280.135
"12",2013,0.1395914,0.01637,0.103,100130,1.988,23,19,2120.352,31.1,2.1,2297.96
"13",2014,0.1407189,0.01234,0.103,32324,1.999,23.3,19.3,2153.733,31.7,2.1,2320.89
"14",2015,0.1399598,0.00556,0.103,40238,1.955,23,19.1,2201.402,31.9,2.1,2345.648
"15",2016,0.1399099,-0.00246,0.101,65044,1.924,23.2,19.3,2231.819,31.9,2.1,2365.821
"16",2017,0.1387917,0.01803,0.094,154661,1.893,23.2,19.4,2291.681,31.9,2,2415.116
"17",2018,0.138264,0.00104,0.09,200506,1.87,23.3,19.5,2355.363,31.7,2,2454.866
"18",2019,0.1364348,0.00599,0.084,127621,1.863,23.4,19.6,2432.207,31.6,2,2504.637
"19",2020,0.1468315,0.0033,0.08,223005,1.817,22.9,18.9,2318.276,32.2,2.1,2318.276
"20",2021,0.1376967,-0.01673,0.079,183000,1.831,23.1,19,2508.102,31.6,1.9,2477.828
"21",2022,0.1359117,-0.0115,0.073,183000,1.794,23,19.1,2655.435,31.2,2,2541.529
"22",2023,0.1338764,0.004,0.0734,183000,1.676,23.6,19.8,2825.857,31,1.9,2563.64
"23",2024,0.13837122,0.0064,0.0754,70000,1.8,23.71841,19.95691,2927.453,31.4,2,2588.508
"24",2025,0.1393376,0.0078,0.0717,70000,1.8,23.77024,20.03738,3018.603,31.3,2,2624.488
"25",2026,0.1389083,0.0061,0.064,70000,1.8,23.82009,20.11797,3119.651,31.3,2,2669.629
"26",2027,0.1382273,0.0045,0.0544,70000,1.8,23.86804,20.19902,3226.301,31.1,2,2717.415
"27",2028,0.1376198,0.0106,0.0529,70000,1.8,23.91433,20.28092,3331.017,31,1.9,2757.361
"28",2029,0.1372636,0.0106,0.0515,70000,1.8,23.95923,20.36422,3436.422,30.9,1.9,2795.689
"29",2030,0.1368567,0.0106,0.05,70000,1.8,24.003,20.44933,3547.259,30.7,1.9,2836.226
"30",2031,0.1365477,0.01,0.05,70000,1.8,24.04598,20.53669,3655.536,30.6,1.9,2872.53
"31",2032,0.1361325,0.01,0.05,70000,1.8,24.08858,20.62673,3766.745,30.5,1.8,2909.011
"32",2033,0.1362811,0.01,0.05,70000,1.8,24.13129,20.71975,3873.673,30.4,1.8,2940.137
"33",2034,0.1363346,0.01,0.05,70000,1.8,24.17461,20.81588,3984.424,30.3,1.8,2972.185
"34",2035,0.1362519,0.01,0.05,70000,1.8,24.21907,20.91512,4098.747,30.3,1.8,3004.879
"35",2036,0.1362093,0.01,0.05,70000,1.8,24.26517,21.01748,4213.431,30.2,1.7,3035.829
"36",2037,0.1361916,0.01,0.05,70000,1.8,24.31339,21.12278,4328.752,30.1,1.7,3065.277
"37",2038,0.1360345,0.01,0.05,70000,1.8,24.36402,21.23096,4448.99,30,1.7,3096.236
"38",2039,0.1357782,0.01,0.05,70000,1.8,24.41736,21.34179,4573.474,30,1.7,3128.127
"39",2040,0.1354952,0.01,0.05,70000,1.8,24.47355,21.45508,4698.649,29.9,1.6,3158.47
"40",2041,0.1352385,0.01,0.05,70000,1.8,24.53263,21.57044,4824.381,29.8,1.6,3187.212
"41",2042,0.1350479,0.01,0.05,70000,1.8,24.59451,21.68744,4952.496,29.8,1.6,3215.578
"42",2043,0.1349105,0.01,0.05,70000,1.8,24.65906,21.80547,5082.502,29.7,1.5,3243.232
"43",2044,0.134835,0.01,0.05,70000,1.8,24.72615,21.92414,5215.92,29.6,1.5,3271.124
"44",2045,0.1347439,0.01,0.05,70000,1.8,24.7956,22.04292,5351.779,29.6,1.5,3298.602
"45",2046,0.1347307,0.01,0.05,70000,1.8,24.86706,22.16138,5486.821,29.5,1.4,3323.671
"46",2047,0.1346068,0.01,0.05,70000,1.8,24.94029,22.27916,5625.828,29.4,1.4,3349.263
"47",2048,0.1344386,0.01,0.05,70000,1.8,25.01495,22.39614,5769.502,29.4,1.4,3375.722
"48",2049,0.1342474,0.01,0.05,70000,1.8,25.09073,22.51231,5919.193,29.3,1.3,3403.741
"49",2050,0.1342112,0.01,0.05,70000,1.8,25.16744,22.62767,6070.961,29.3,1.3,3430.971
"50",2051,0.1341138,0.01,0.05,70000,1.8,25.24473,22.74221,6226.62,29.2,1.3,3458.419
"51",2052,0.1339812,0.01,0.05,70000,1.8,25.32251,22.85595,6388.172,29.2,1.3,3487.124
"52",2053,0.1338276,0.01,0.05,70000,1.8,25.40068,22.96887,6555.214,29.1,1.2,3516.764
"53",2054,0.1336295,0.01,0.05,70000,1.8,25.47914,23.08098,6728.626,29.1,1.2,3547.712
"54",2055,0.1333513,0.01,0.05,70000,1.8,25.55779,23.19227,6909.364,29,1.2,3580.351
"55",2056,0.1330874,0.01,0.05,70000,1.8,25.63655,23.30275,7092.847,29,1.2,3612.216
"56",2057,0.1327454,0.01,0.05,70000,1.8,25.71534,23.41242,7283.368,28.9,1.2,3645.448
"57",2058,0.1324088,0.01,0.05,70000,1.8,25.79409,23.52128,7480.489,28.9,1.1,3679.715
"58",2059,0.1320154,0.01,0.05,70000,1.8,25.87275,23.62934,7684.467,28.8,1.1,3715.041
"59",2060,0.1317158,0.01,0.05,70000,1.8,25.95126,23.73658,7893.225,28.8,1.1,3750.333
"60",2061,0.1314865,0.01,0.05,70000,1.8,26.02959,23.84302,8106.851,28.8,1.1,3785.587
"61",2062,0.1313012,0.01,0.05,70000,1.8,26.10773,23.94866,8326.259,28.8,1.1,3821.171
"62",2063,0.1311899,0.01,0.05,70000,1.8,26.18565,24.05349,8552.452,28.8,1.1,3857.472
"63",2064,0.1311794,0.01,0.05,70000,1.8,26.26335,24.15753,8783.05,28.8,1.1,3893.347
"64",2065,0.1312838,0.01,0.05,70000,1.8,26.34081,24.26078,9015.396,28.7,1.1,3927.608
"65",2066,0.1313983,0.01,0.05,70000,1.8,26.41802,24.36323,9250.22,28.7,1.1,3960.6
"66",2067,0.1314995,0.01,0.05,70000,1.8,26.49499,24.4649,9492.102,28.7,1,3994.265
"67",2068,0.1316012,0.01,0.05,70000,1.8,26.57171,24.56578,9740.309,28.7,1,4028.216
"68",2069,0.1317502,0.01,0.05,70000,1.8,26.64818,24.66589,9993.023,28.7,1,4061.651
"69",2070,0.131999,0.01,0.05,70000,1.8,26.7244,24.76522,10249.245,28.7,1,4094.144
"70",2002,0.117761,0.02786,0.079,97000,1.881,21.4,17.1,1578.33,26.9,2,2003.664
"71",2003,0.1187742,0.00614,0.085,102000,1.891,21.3,17.1,1622.313,27.6,2,2023.056
"72",2004,0.1195707,0.01315,0.089,105128,1.915,22.1,17.7,1696.108,27.9,2,2081.082
"73",2005,0.1213313,0.00955,0.089,92192,1.938,22,17.7,1762.048,27.9,2,2120.384
"74",2006,0.1215354,0.02648,0.088,112141,1.997,22.4,18,1846.021,28,2.1,2177.933
"75",2007,0.1230522,-0.00275,0.08,73626,1.977,22.5,18.1,1937.876,28.4,2.1,2233.045
"76",2008,0.1242644,-0.0031,0.074,56812,2.007,22.5,18.2,1990,28.3,1.9,2241.535
"77",2009,0.1331763,-0.00742,0.091,32339,2.004,22.6,18.4,1935.84,28.9,2,2178.221
"78",2010,0.1335761,0.01164,0.093,38880,2.029,22.7,18.6,1996.075,28.6,2,2221.793
"79",2011,0.1348647,0.01373,0.092,29504,2.01,23,18.9,2062.141,29.3,2,2275.951
"80",2012,0.1379361,0.00419,0.098,72336,2.008,22.8,18.8,2088.287,30.1,2.1,2280.135
"81",2013,0.1395914,0.01637,0.103,100130,1.988,23,19,2120.352,31.1,2.1,2297.96
"82",2014,0.1407189,0.01234,0.103,32324,1.999,23.3,19.3,2153.733,31.7,2.1,2320.89
"83",2015,0.1399598,0.00556,0.103,40238,1.955,23,19.1,2201.402,31.9,2.1,2345.648
"84",2016,0.1399099,-0.00246,0.101,65044,1.924,23.2,19.3,2231.819,31.9,2.1,2365.821
"85",2017,0.1387917,0.01803,0.094,154661,1.893,23.2,19.4,2291.681,31.9,2,2415.116
"86",2018,0.138264,0.00104,0.09,200506,1.87,23.3,19.5,2355.363,31.7,2,2454.866
"87",2019,0.1364348,0.00599,0.084,127621,1.863,23.4,19.6,2432.207,31.6,2,2504.637
"88",2020,0.1468315,0.0033,0.08,223005,1.817,22.9,18.9,2318.276,32.2,2.1,2318.276
"89",2021,0.1376967,-0.01673,0.079,183000,1.831,23.1,19,2508.102,31.6,1.9,2477.828
"90",2022,0.1359117,-0.0115,0.073,183000,1.794,23,19.1,2655.435,31.2,2,2541.529
"91",2023,0.1338764,0.004,0.0734,183000,1.676,23.6,19.8,2825.857,31,1.9,2563.64
